baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000038295.14	631.514345404748	5.2351371751196	0.190244206413632	27.5179847723576	1.06976081000044e-166	5.72422323426172e-164
ENSMUSG00000012350.15	1201.71518294221	7.67858504038942	0.283306175842529	27.1034862461221	8.95750131607599e-162	4.64785742530816e-159
ENSMUSG00000024421.16	651.918475043792	5.79926352373398	0.215451287490728	26.9168199980404	1.39586201623481e-159	7.0298074423496e-157
ENSMUSG00000048373.8	879.346358677469	7.22602583206516	0.279347693833158	25.8674977155206	1.54654294112818e-147	7.5661299374108e-145
ENSMUSG00000031297.14	803.732785567123	3.90485188750449	0.153851475734007	25.3806592941336	4.12400559928543e-142	1.96153744101568e-139
ENSMUSG00000043439.5	659.53239784392	5.17197285583656	0.203805483437289	25.3770054102984	4.52537188913072e-142	2.09426872588068e-139
ENSMUSG00000024331.11	732.403130880936	5.56127440594024	0.220294743238837	25.2446986440837	1.29503490447181e-140	5.83549543928179e-138
ENSMUSG00000074227.12	750.814193522141	3.90662794949685	0.154763258507592	25.2426059464572	1.3654002663593e-140	5.99480737458214e-138
ENSMUSG00000018166.8	697.302797204036	6.80737190411492	0.270265272750126	25.187741787339	5.45769195223413e-140	2.33630148245263e-137
ENSMUSG00000020911.14	1699.87209581786	3.62083445308753	0.144065748588676	25.1332081952763	2.15694443109613e-139	9.00813646186807e-137
ENSMUSG00000018849.6	1056.75824422531	3.62953034558318	0.145364621678964	24.9684572742807	1.34611959104005e-137	5.48800137080448e-135
ENSMUSG00000074272.10	525.5022684419	4.94369723993605	0.199901683839088	24.7306433092155	5.0086451549373e-135	1.99448909274398e-132
ENSMUSG00000030494.13	525.962630950935	5.76377097810713	0.235969615133834	24.4259032029955	9.07709289940987e-132	3.53243322083171e-129
ENSMUSG00000022218.16	1165.15508324637	8.52082131444426	0.348932759361996	24.4196656399477	1.05734610143724e-131	4.02331939886886e-129
ENSMUSG00000022123.9	553.221953787334	4.73435477978868	0.194827939184731	24.3001840475235	1.95155807807981e-130	7.26446281977403e-128
ENSMUSG00000026479.13	663.697052228901	3.25547309820911	0.134749664655678	24.1594152128521	5.94549484437527e-129	2.16605762170719e-126
ENSMUSG00000035557.9	5640.06227883078	11.8764240223812	0.493395361979199	24.0708059653018	5.05578118425615e-128	1.80354460870871e-125
ENSMUSG00000038807.19	1117.99882207317	2.96102378290722	0.123916862954059	23.8952448627188	3.43200142504126e-126	1.1993093959384e-123
ENSMUSG00000019866.15	1634.07114856977	2.94107876692948	0.123122305054187	23.8874569935568	4.13518120568897e-126	1.41613415570025e-123
ENSMUSG00000026639.18	426.403103596306	4.29815564333341	0.180291174994721	23.840077826656	1.28347336098052e-125	4.30919889413125e-123
ENSMUSG00000029019.8	419.046034314051	5.45319831953838	0.230723348142151	23.6352253183263	1.67483858305525e-123	5.51505020339521e-121
ENSMUSG00000063011.7	8470.15929203894	1.94459581162609	0.0828738151560577	23.4645383220775	9.39344689334011e-122	3.03479228593703e-119
ENSMUSG00000056413.16	486.449913699025	5.93392259346791	0.253403853871081	23.4168600943488	2.87791152507537e-121	9.1256442673825e-119
ENSMUSG00000005968.14	900.86517132353	2.82374113427733	0.121047390416925	23.3275671995199	2.32858084758687e-120	7.24950724604181e-118
ENSMUSG00000015468.14	463.384739426694	5.99484018600813	0.257593727725364	23.272461790683	8.4281073520444e-120	2.57704432480457e-117
ENSMUSG00000046410.10	440.162115583732	4.26116604325445	0.184025883574194	23.1552538180667	1.2869585896611e-118	3.8660687597837e-116
ENSMUSG00000041607.17	438.109435066246	5.01312407152081	0.218344121314695	22.9597391554934	1.17778799498016e-116	3.4771144548354e-114
ENSMUSG00000030513.14	1228.48494745726	2.46987685164941	0.108860824284261	22.6883901338097	5.83339506608914e-114	1.69296989350245e-111
ENSMUSG00000018920.11	363.716018146784	3.6989343834472	0.16318685374871	22.6668649984708	9.51323227904565e-114	2.71491793856831e-111
ENSMUSG00000024479.3	746.447670049553	7.47604413718462	0.330760089024263	22.6026185905284	4.08420415970392e-113	1.14645619387886e-110
ENSMUSG00000042377.8	350.368777366703	4.34028947237978	0.192225534072913	22.5791515852076	6.94694545645438e-113	1.91858946856239e-110
ENSMUSG00000021118.7	399.65899581483	5.28353652506592	0.234616951248248	22.519841371033	2.65316273351598e-112	7.21112785491971e-110
ENSMUSG00000084128.10	455.632375957915	4.29075492582969	0.190728181302623	22.4967013082438	4.47103209240323e-112	1.1962106643472e-109
ENSMUSG00000020435.17	376.837897234324	4.64443024603614	0.207191334366463	22.4161413904573	2.73927953966862e-111	7.21610516273012e-109
ENSMUSG00000002799.6	445.875801688302	4.57205050209184	0.205864555049796	22.2090223398871	2.80985051858871e-109	7.28985915602947e-107
ENSMUSG00000026380.10	349.870248431056	4.87881880623211	0.220844809773258	22.0916163311295	3.80534182085135e-108	9.7252041788713e-106
